NAMELSAD,County Population,Max Peak (mph),Trans LENGTH km,Substations,DistLineLength km
central_dummy1,0,95,0,0,0
central_dummy2,0,110,0,0,0
central_dummy3,0,129,0,0,0
central_dummy4,0,156,0,0,0
Adjuntas Municipio,18760,110,33.46687968,2,304.6352891
Aguada Municipio,40083,95,28.5080049,1,265.535193
Aguadilla Municipio,56893,95,78.46237762,9,386.9257128
Aguas Buenas Municipio,27323,156,37.0712094,1,232.4957441
Aibonito Municipio,24438,129,17.14411441,2,219.5198939
Añasco Municipio,28250,95,47.60678595,1,236.8994307
Arecibo Municipio,91096,129,183.814906,7,713.0809323
Arroyo Municipio,18778,129,13.40204674,5,118.5982012
Barceloneta Municipio,24699,129,41.36863735,2,138.8512754
Barranquitas Municipio,29548,129,43.34468487,1,232.1515579
Bayamón Municipio,192974,156,150.187199,11,1056.699846
Cabo Rojo Municipio,50096,95,51.22551833,5,484.4293719
Caguas Municipio,136372,156,74.23843857,8,916.7489219
Camuy Municipio,33481,110,12.6551681,1,283.6262314
Canóvanas Municipio,47174,156,58.44311592,1,317.6663573
Carolina Municipio,165040,156,131.7658642,10,975.5009159
Cataño Municipio,26137,156,43.33638827,2,108.973262
Cayey Municipio,46071,129,46.88364076,4,359.941315
Ceiba Municipio,12538,129,35.575767,8,163.7063927
Ciales Municipio,17644,129,20.12680061,1,229.4390881
Cidra Municipio,41782,129,57.95522556,3,329.3857526
Coamo Municipio,40090,129,40.55847258,6,375.2334255
Comerío Municipio,20153,129,42.82096863,1,153.8122336
Corozal Municipio,35484,129,22.44536499,2,274.9528694
Culebra Municipio,1508,110,1.202962245,1,41.61253454
Dorado Municipio,38013,156,45.84361941,3,322.3589027
Fajardo Municipio,33912,129,44.94229627,3,311.3762492
Florida Municipio,12287,129,6.106353534,1,79.15758565
Guánica Municipio,17788,95,40.10136629,1,150.2835654
Guayama Municipio,43210,129,130.4833922,17,338.3155476
Guayanilla Municipio,20025,95,61.15897016,2,162.4324457
Guaynabo Municipio,92444,156,56.53574136,7,560.2416544
Gurabo Municipio,46990,156,10.83129136,3,329.1786312
Hatillo Municipio,41327,110,37.69144219,3,306.0408968
Hormigueros Municipio,16678,95,23.98110753,0,122.9589238
Humacao Municipio,55621,156,68.43462498,2,481.7252242
Isabela Municipio,43919,110,27.40873882,4,336.1540115
Jayuya Municipio,15605,110,12.18222056,2,192.0159767
Juana Díaz Municipio,48658,110,78.10704366,10,335.002804
Juncos Municipio,39942,156,29.4537207,1,253.9420583
Lajas Municipio,24323,95,21.57092806,2,232.2994623
Lares Municipio,28052,110,22.49885425,1,320.4915491
Las Marías Municipio,9093,95,9.803267607,1,171.3080433
Las Piedras Municipio,38466,156,29.08192028,2,262.7070292
Loíza Municipio,27857,129,3.531925199,1,123.0483693
Luquillo Municipio,19237,129,22.02646006,1,187.4305058
Manatí Municipio,41468,129,32.60683154,4,291.9577327
Maricao Municipio,6274,95,21.61354408,3,140.7751514
Maunabo Municipio,11506,129,16.61611035,2,102.8892645
Mayagüez Municipio,81594,95,106.0443553,11,551.6074985
Moca Municipio,38289,95,19.29609391,2,276.169848
Morovis Municipio,32087,129,9.733658233,1,227.2025862
Naguabo Municipio,26722,156,57.69960819,2,211.6457854
Naranjito Municipio,29467,129,17.8767417,0,212.5407315
Orocovis Municipio,22258,129,24.94934949,2,273.5265134
Patillas Municipio,18135,129,24.10637628,3,185.78397
Peñuelas Municipio,22231,95,68.45342779,2,204.2178388
Ponce Municipio,152594,110,207.6328782,67,1091.436675
Quebradillas Municipio,24904,110,15.50320066,1,169.7740535
Rincón Municipio,14700,95,11.00396551,3,139.4435526
Río Grande Municipio,52479,156,39.37803354,3,427.4267596
Sabana Grande Municipio,24013,95,21.45197916,2,181.8920861
Salinas Municipio,29722,129,75.49504189,7,286.350341
San Germán Municipio,33546,95,52.85004213,4,329.9918422
San Juan Municipio,363744,156,239.4472785,52,1854.460536
San Lorenzo Municipio,39283,156,9.331672259,2,363.7890968
San Sebastián Municipio,39755,95,52.03271801,1,425.7332876
Santa Isabel Municipio,22732,110,59.05727251,17,209.566122
Toa Alta Municipio,74467,156,22.57056888,3,363.3254168
Toa Baja Municipio,83645,156,41.33335613,2,371.1271904
Trujillo Alto Municipio,70737,156,30.82790576,5,425.6054575
Utuado Municipio,30869,110,83.50290732,3,506.3188589
Vega Alta Municipio,39018,129,24.77619912,3,231.3871546
Vega Baja Municipio,55866,129,36.93000102,2,326.8525249
Vieques Municipio,9046,156,18.79946015,1,123.0575296
Villalba Municipio,24186,129,66.75881177,6,182.2767163
Yabucoa Municipio,35670,156,31.74372168,3,330.3078301
Yauco Municipio,38519,95,56.31677418,3,355.8029372
